"","X","Rep_theta","Rep_NumStudies","Rep_tau.sq","Rep_Subj","Rep_ev_freq","Bias_FE","Bias_REML","Bias_DL","Bias_Moreno","MSE_FE","MSE_REML","MSE_DL","MSE.Moreno","Coverage_FE","Coverage_REML","Coverage_DL","Coverage_HC_DL","Coverage_HC_REML","Coverage_KH_DL","Coverage_KH_REML","Coverage_IVHet","Coverage_Moreno","Coverage_Mult","Outside_FE","Outside_REML","Outside_DL","Outside_HC_DL","Outside_HC_REML","Outside_KH_DL","Outside_KH_REML","Outside_IVHet","Outside_Moreno","Outside_Mult","EmpSE_Bias_FE","EmpSE_Bias_DL","EmpSE_Bias_REML","EmpSE_Bias_Moreno","DL_I2","Av_exc","Bias_type"
"1",1,-1.38629436111989,3,0,4.7,0.1,-0.163927221983211,-0.174593316615397,-0.17142749022293,-0.134176279873828,0.142364141362966,0.146441296671069,0.145395882232216,14.0409055208197,0.970085042521261,0.973684210526316,0.973686843421711,0.958979489744872,0.95967580548329,0.91695847923962,0.916950170102061,0.973786893446723,0.668885191347754,0.971185592796398,0.0225112556278139,0.0223133880328197,0.0219109554777389,0.0332166083041521,0.0333199919951971,0.0654327163581791,0.0654392635581349,0.0220110055027514,0.0470049916805324,0.0228114057028514,0.339858151866685,0.340617242139259,0.340543792241365,3.74490392117647,6.16140563386514,0.0389,"AltOut"
"2",2,-1.38629436111989,3,0,4.7,0.3,-0.136384141648062,-0.152143693950794,-0.151336987284525,-0.0537119875166825,0.0744775562421942,0.0851676048436078,0.084099939994477,0.655334588220004,0.9378,0.949479791916767,0.9499,0.9333,0.932372949179672,0.9371,0.937074829931973,0.9508,0.684316085038107,0.942,0.0566,0.0469187675070028,0.0461,0.0617,0.062625050020008,0.0507,0.0507202881152461,0.0452,0.0726032892097874,0.0532,0.236394818894483,0.247392757759356,0.24905040920923,0.807783920428738,11.0522163967339,0.0028,"AltOut"
"3",3,-1.38629436111989,3,0,4.7,0.5,-0.126239376697067,-0.144923248034975,-0.144993474958087,-0.0557217682119757,0.0632293748844891,0.0753764563347072,0.0747535403762916,0.581889073988891,0.9314,0.943977591036415,0.9446,0.9288,0.927771108443377,0.933,0.93297318927571,0.9457,0.690852682145717,0.9368,0.0628,0.0518207282913165,0.0518,0.066,0.0664265706282513,0.0504,0.0504201680672269,0.0507,0.0839671737389912,0.0582,0.217480400100947,0.231809849179209,0.233193371699534,0.760816694572678,12.1694693535928,8e-04,"AltOut"
"4",4,-1.38629436111989,3,0,20,0.1,-0.228617983712579,-0.241688952455134,-0.239314999359049,0.0414480127222017,0.289688145401749,0.288141043138151,0.287550730044892,91.914945577314,0.9936,0.994599459945995,0.9949,0.9908,0.990599059905991,0.9051,0.905090509050905,0.9949,0.623376623376623,0.9939,-8e-04,0.0002000200020002,5e-04,0.0024,0.0022002200220022,0.0795,0.0795079507950795,5e-04,-0.087023213007465,-5e-04,0.487284011122562,0.479898000970835,0.479322929499623,9.58761805046194,3.66884351534816,0.0221,"AltOut"
"5",5,-1.38629436111989,3,0,20,0.3,-0.240495078020892,-0.260977636183566,-0.261503403228068,0.174840429729599,0.193600535717681,0.205459442896389,0.204783547533038,16.2374548926346,0.9504,0.955082032813125,0.954,0.9355,0.936674669867947,0.9276,0.927571028411365,0.9547,0.6964,0.9516,0.045,0.0419167667066827,0.043,0.0587,0.0571228491396559,0.06,0.0600240096038415,0.0423,-0.0656,0.0444,0.368478263658096,0.369341520748847,0.370626305314396,4.02597895764785,9.96944525478276,0,"AltOut"
"6",6,-1.38629436111989,3,0,20,0.5,-0.233750810209692,-0.253858426705796,-0.255141303145466,0.128055587724327,0.170249937397058,0.184510325361322,0.184848152982203,5.95764836504757,0.9313,0.9399,0.9404,0.9265,0.9262,0.9302,0.9302,0.9411,0.698669866986699,0.9349,0.0617,0.0551,0.0546,0.0665,0.0668,0.0562,0.0562,0.0539,-0.0441044104410441,0.0591,0.340032437172107,0.346067977015944,0.346523061822756,2.43758987021239,11.9881042777959,0,"AltOut"
"7",7,-1.38629436111989,3,0,100,0.1,-0.210824476233017,-0.236538436320943,-0.236065327911302,0.412863642710869,0.203059316795915,0.209665753480126,0.207660171070383,9.25057489690294,0.9843,0.985694277711084,0.9857,0.9755,0.975490196078431,0.9323,0.932272909163665,0.9857,0.524419535628503,0.9853,0.0095,0.0109043617446979,0.0109,0.0201,0.0199079631852741,0.0567,0.0567226890756303,0.0109,-0.315052041633307,0.0105,0.398281583605083,0.389805755320776,0.392085068377696,3.01347429709102,6.49561911295357,0,"AltOut"
"8",8,-1.38629436111989,3,0,100,0.3,-0.182215890202017,-0.195076086547929,-0.195236191693989,1.70873766245054,0.101030760620098,0.106399054556858,0.106501855200688,65.4341994887195,0.9318,0.9401,0.9408,0.9253,0.9246,0.93,0.93,0.9415,0.504700940188038,0.9353,0.0638,0.0575,0.0568,0.0709,0.0716,0.0596,0.0596,0.0561,-0.422884576915383,0.0615,0.260451364882835,0.261517731341292,0.261440643617277,7.90700122721293,11.8298705577942,0,"AltOut"
"9",9,-1.38629436111989,3,0,100,0.5,-0.169380840550676,-0.176510448692815,-0.176509802092399,4.76505776176835,0.0846996214865327,0.0877661866120793,0.0877600876067917,442.965212218632,0.9221,0.9347,0.9349,0.919,0.9194,0.9238,0.9238,0.9355,0.0994298289486846,0.9287,0.0745,0.0629,0.0627,0.0782,0.0778,0.0628,0.0628,0.0621,-0.893768130439132,0.0685,0.236675630085285,0.237928641352678,0.237940979457745,20.5012555592681,12.1774246293438,0,"AltOut"
"10",10,-1.38629436111989,3,0,250,0.1,-0.11086114076577,-0.12108636120403,-0.121539437408668,0.117014390816647,0.0418562350988622,0.045160291952815,0.0452063591940029,1.86271725151173,0.9418,0.9495,0.9495,0.9374,0.9375,0.9344,0.9344,0.9509,0.6952,0.945,0.0546,0.0483,0.0479,0.0584,0.0583,0.052,0.052,0.0467,-0.0904,0.0516,0.171956388270169,0.174463658408271,0.174646600959494,1.35985653832823,11.4433511307675,0,"AltOut"
