"","X","Rep_theta","Rep_NumStudies","Rep_tau.sq","Rep_Subj","Bias_FE","Bias_REML","Bias_DL","Bias_Moreno","MSE_FE","MSE_REML","MSE_DL","MSE.Moreno","Coverage_FE","Coverage_REML","Coverage_DL","Coverage_HC_DL","Coverage_HC_REML","Coverage_KH_DL","Coverage_KH_REML","Coverage_IVHet","Coverage_Moreno","Coverage_Mult","Outside_FE","Outside_REML","Outside_DL","Outside_HC_DL","Outside_HC_REML","Outside_KH_DL","Outside_KH_REML","Outside_IVHet","Outside_Moreno","Outside_Mult","DL_I2","Bias_type"
"1",1,-0.76,3,0,60,-0.082919316221108,-0.0832403183756971,-0.0832315861523695,-0.0760548269024762,0.0265719772498927,0.0261436814016081,0.0261453075196371,3.69920998469121,0.9098,0.9358,0.9348,0.922,0.9222,0.9352,0.9352,0.9342,0.691,0.9219,0.08,0.0568,0.0578,0.0676,0.0672,0.0484,0.0484,0.0584,0.0318,0.0691,13.7900766926659,"AltOut"
"2",2,-0.76,5,0,60,-0.0824579327199065,-0.082763186043654,-0.0827415506630268,-0.0606310131318069,0.0190723955194988,0.0188545220769378,0.0188578131070521,0.451008416695315,0.876,0.9054,0.9054,0.891,0.8913,0.9028,0.9028,0.904,0.8331,0.8926,0.1158,0.0894,0.0896,0.1026,0.1025,0.089,0.089,0.0908,0.0303,0.1018,12.2678057619637,"AltOut"
"3",3,-0.76,10,0,60,-0.080094236608739,-0.0803786421789956,-0.0803520313493977,-0.0581880772242921,0.0125359497522483,0.012463411548275,0.0124682240307128,0.131642320810699,0.8157,0.8488,0.8459,0.8292,0.8322,0.8361,0.8361,0.8456,0.8885,0.8378,0.1819,0.1494,0.1521,0.1682,0.1652,0.1591,0.1593,0.1524,0.0343,0.1602,10.220697115887,"AltOut"
"4",4,-0.76,30,0,60,-0.0800741920086553,-0.0803182724799989,-0.0802684850750656,-0.0584408570791061,0.00845464441871228,0.00845882119748005,0.00845610743881581,0.0392630566311195,0.5576,0.6002,0.592,0.5767,0.5872,0.5717,0.5699,0.5949,0.9035,0.5855,0.4424,0.3998,0.408,0.4233,0.4128,0.4283,0.4301,0.4051,0.0543,0.4145,7.09181070421857,"AltOut"
"5",5,-0.76,50,0,60,-0.0802781128574053,-0.08048699689197,-0.0804309457643171,-0.0558297689012943,0.00766202066778388,0.00767917762358386,0.00767415336032443,0.0238354861847551,0.3549,0.3884,0.3803,0.3687,0.3804,0.3603,0.3586,0.3823,0.8967,0.3771,0.6451,0.6116,0.6197,0.6313,0.6196,0.6397,0.6414,0.6177,0.0705,0.6229,5.61537643576488,"AltOut"
"6",6,-0.76,100,0,60,-0.0798055823231086,-0.0799923698815668,-0.0799238251719767,-0.0541006293941747,0.0069770135499567,0.00700007808683214,0.00699150162789488,0.0129970929156964,0.0962,0.1077,0.1028,0.1002,0.1072,0.0948,0.0936,0.1057,0.8809,0.1033,0.9038,0.8923,0.8972,0.8998,0.8928,0.9052,0.9064,0.8943,0.0983,0.8967,3.95948098541679,"AltOut"
"7",7,-0.76,3,0.005,60,-0.0830538309171766,-0.0831282448311366,-0.0831074847654546,-0.0530859026918601,0.0287043756491642,0.02824628620928,0.0282507603482273,4.36574435749099,0.8957,0.9242,0.9238,0.9119,0.9123,0.9361,0.9361,0.9234,0.6875,0.9116,0.0895,0.0654,0.0658,0.0741,0.0741,0.0437,0.0437,0.0662,0.0253,0.0762,15.5361496706556,"AltOut"
"8",8,-0.76,5,0.005,60,-0.0795378258351893,-0.079749312048501,-0.07975403942624,-0.0555009935933951,0.0195676118821004,0.0192617188056032,0.0192701207849163,0.440948385072347,0.8718,0.906,0.9059,0.8918,0.8927,0.9109,0.9108,0.9048,0.8372,0.8924,0.116,0.0858,0.0853,0.0974,0.0969,0.0759,0.076,0.0864,0.0356,0.0974,14.6022574261987,"AltOut"
"9",9,-0.76,10,0.005,60,-0.0813387082982066,-0.0816646906909294,-0.0816577679691661,-0.0592347511299277,0.0133022079627692,0.013191951001195,0.013198132056141,0.140148882814682,0.8058,0.8448,0.8442,0.831,0.8339,0.842,0.842,0.8424,0.8913,0.8313,0.1888,0.1508,0.1514,0.1638,0.1609,0.1514,0.1514,0.1532,0.0355,0.1641,12.9554393026214,"AltOut"
"10",10,-0.76,30,0.005,60,-0.0804761131087082,-0.0807722206542039,-0.080745381640252,-0.0593525226545636,0.00868945767950941,0.00869658270882163,0.0086968073543642,0.0416458002347286,0.5552,0.6078,0.5995,0.5886,0.6027,0.594,0.5932,0.6026,0.9009,0.5917,0.4444,0.3922,0.4005,0.4114,0.3973,0.406,0.4068,0.3974,0.0569,0.4083,9.9450281431002,"AltOut"
"11",11,-0.76,50,0.005,60,-0.0808322690440242,-0.0811006704123346,-0.0810562664151934,-0.0575286864125986,0.00784558624298009,0.00786717250053922,0.0078642956602519,0.0257972127516843,0.3589,0.4046,0.3972,0.3898,0.4019,0.3892,0.388,0.3998,0.8955,0.3938,0.6409,0.5952,0.6026,0.61,0.5979,0.6106,0.6118,0.6,0.0705,0.606,9.02301615843484,"AltOut"
"12",12,-0.76,100,0.005,60,-0.0803042817838885,-0.0805098689779622,-0.0804553068688617,-0.0603197237805528,0.00711434041724706,0.00713631354941896,0.00713011638002744,0.0143275839528239,0.105,0.1242,0.1182,0.1185,0.1266,0.1165,0.1152,0.1211,0.8788,0.119,0.895,0.8758,0.8818,0.8815,0.8734,0.8835,0.8848,0.8789,0.1038,0.881,7.79306074963672,"AltOut"
"13",13,-0.76,3,0.022,60,-0.0825808346395444,-0.0825337818658097,-0.0825152331278639,-0.0696736126153832,0.0340528991675357,0.0334096235983261,0.0334025070509702,3.93388591866443,0.8635,0.9103,0.9105,0.9017,0.9015,0.9362,0.9362,0.9102,0.6904,0.8911,0.1069,0.0707,0.0699,0.0763,0.0765,0.04,0.04,0.0704,0.034,0.0855,20.6056776870399,"AltOut"
"14",14,-0.76,5,0.022,60,-0.0826146258353967,-0.0825725598128053,-0.0825627895991592,-0.0811934395954292,0.023155418837431,0.0226824614829953,0.0226847090284628,0.579518721799725,0.8384,0.8953,0.8954,0.8898,0.8898,0.9175,0.9174,0.8937,0.841,0.8769,0.1388,0.0929,0.0926,0.0968,0.0968,0.0679,0.068,0.0941,0.027,0.1083,21.4567725115263,"AltOut"
"15",15,-0.76,10,0.022,60,-0.0802491251139178,-0.0803748560037401,-0.0803547637061646,-0.0747413885895231,0.0147885271883217,0.0145654114976749,0.0145704743967188,0.179497034112865,0.7758,0.849,0.8479,0.8456,0.848,0.8715,0.8714,0.8454,0.8902,0.829,0.2126,0.1454,0.1461,0.1474,0.1452,0.1209,0.1212,0.1484,0.035,0.163,21.8137834425655,"AltOut"
"16",16,-0.76,30,0.022,60,-0.0811836821043724,-0.0814793482494546,-0.0814674109671041,-0.0704203419605941,0.00938348075091877,0.00934292578453455,0.00934505077817076,0.052706321531141,0.5405,0.642,0.6388,0.6508,0.6569,0.655,0.6546,0.6439,0.9026,0.6282,0.4571,0.357,0.3602,0.348,0.3421,0.344,0.3444,0.3551,0.0574,0.3708,22.3059656059521,"AltOut"
"17",17,-0.76,50,0.022,60,-0.0811672803283248,-0.0813834915034561,-0.08137478663172,-0.0738708177076194,0.00828271168056307,0.00826695022872855,0.00826751145412595,0.0335639585447853,0.3667,0.4722,0.4661,0.4791,0.4867,0.477,0.4763,0.4706,0.8907,0.457,0.6331,0.5278,0.5339,0.5209,0.5133,0.523,0.5237,0.5294,0.0783,0.543,22.4549052511334,"AltOut"
"18",18,-0.76,100,0.022,60,-0.0816037465742135,-0.0818454089201828,-0.0818337788582297,-0.074553044216407,0.00750812321037773,0.00752121618051917,0.00752048078943686,0.0189586280347806,0.1228,0.1868,0.1826,0.1915,0.1969,0.1847,0.1839,0.1875,0.8657,0.18,0.8772,0.8132,0.8174,0.8085,0.8031,0.8153,0.8161,0.8125,0.1181,0.82,23.5266467661828,"AltOut"
"19",19,-0.76,3,1.676,60,-0.119150603878559,-0.0753901659896371,-0.0754350625602662,-1.0255620634863,0.618038841525186,0.596003506459826,0.595987001895157,102.405478497334,0.2728,0.8088,0.8072,0.9046,0.9054,0.9481,0.9481,0.8109,0.6806,0.738,0.124,0.0314,0.0316,0.0148,0.0144,0.0105,0.0105,0.0355,0.1004,0.0498,86.1800548008249,"AltOut"
"20",20,-0.76,5,1.676,60,-0.127090325621566,-0.0735517010027973,-0.073650851996472,-1.09788733628609,0.371548713841864,0.348764899704003,0.348780484267124,12.7038028531836,0.2806,0.8778,0.8762,0.9461,0.9471,0.9482,0.9483,0.8791,0.8213,0.8307,0.161,0.0312,0.0346,0.0193,0.0195,0.019,0.0191,0.0429,0.1099,0.0543,92.9340248990635,"AltOut"
